source_id,organization,title,publication_version,url,notes
SRC-COMPTIA-SY0701-V6,CompTIA,CompTIA Security+ SY0-701 Certification Exam Objectives,Version 6.0,https://comptiacdn.azureedge.net/webcontent/docs/default-source/exam-objectives/comptia-security-sy0-701-exam-objectives-(6-0).pdf,"Authoritative source for exam domains, weights, objectives, and scope."
SRC-NIST-FIPS186-5,NIST,Digital Signature Standard,FIPS 186-5,https://csrc.nist.gov/pubs/fips/186-5/final,Primary reference for digital signatures.
SRC-CISA-BRUTE-FORCE,CISA,Brute Force Attacks Conducted by Cyber Actors,Current guidance,https://www.cisa.gov/news-events/cybersecurity-advisories/aa21-008a,Distinguishes password spraying and other brute-force activity.
SRC-NIST-NCCOE-TOKENIZATION,NIST NCCoE,Data Confidentiality: Identifying and Protecting Assets Against Data Breaches,NCCoE project guidance,https://www.nccoe.nist.gov/projects/data-confidentiality-identifying-and-protecting-assets-against-data-breaches,Primary guidance that includes tokenization and data masking.
SRC-NIST-SP800-34R1,NIST,Contingency Planning Guide for Federal Information Systems,SP 800-34 Rev. 1,https://csrc.nist.gov/pubs/sp/800/34/r1/final,Primary continuity and recovery planning reference.
SRC-NIST-GLOSSARY-RPO-RTO,NIST,CSRC Glossary entries for Recovery Point Objective and Recovery Time Objective,Current glossary,https://csrc.nist.gov/glossary,Definitions used to distinguish maximum tolerable data loss from restoration time.
SRC-NIST-SP800-63B-4,NIST,Digital Identity Guidelines: Authentication and Authenticator Management,SP 800-63B-4,https://pages.nist.gov/800-63-4/sp800-63b.html,Primary reference for authentication factors and authenticators.
SRC-NIST-SP800-61R3,NIST,Incident Response Recommendations and Considerations for Cybersecurity Risk Management,SP 800-61 Rev. 3,https://csrc.nist.gov/pubs/sp/800/61/r3/final,"Current NIST incident response publication, finalized April 2025."
SRC-NIST-RISK-ALE,NIST,Quantitative Risk Assessment training material,NIST presentation,https://www.nist.gov/document/d3trk1zhdanovgoodpeoplebaddecisionspdf,Includes ALE = ARO × SLE and SLE = asset value × exposure factor.
SRC-NIST-SP800-47R1,NIST,Managing the Security of Information Exchanges,SP 800-47 Rev. 1,https://csrc.nist.gov/pubs/sp/800/47/r1/final,"Primary reference for agreement types, including service-level agreements."
SRC-NIST-SP800-207,NIST,Zero Trust Architecture,SP 800-207,https://csrc.nist.gov/pubs/sp/800/207/final,Primary reference for Zero Trust principles and resource protection.
